"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
11204,712,1171,60.8,"20200403"
11205,242,412,58.74,"20200403"
11206,411,716,57.4,"20200403"
11207,479,798,60.03,"20200403"
11208,520,794,65.49,"20200403"
11209,292,606,48.18,"20200403"
11210,524,859,61,"20200403"
11211,788,1225,64.33,"20200403"
11212,395,632,62.5,"20200403"
11213,498,772,64.51,"20200403"
11214,347,691,50.22,"20200403"
11215,203,493,41.18,"20200403"
11216,210,396,53.03,"20200403"
11217,161,321,50.16,"20200403"
11218,499,856,58.29,"20200403"
11219,1037,1487,69.74,"20200403"
11220,402,654,61.47,"20200403"
11221,335,566,59.19,"20200403"
11222,131,291,45.02,"20200403"
11223,474,858,55.24,"20200403"
11224,195,392,49.74,"20200403"
11225,353,539,65.49,"20200403"
11226,485,786,61.7,"20200403"
11228,158,300,52.67,"20200403"
11229,423,812,52.09,"20200403"
11230,848,1334,63.57,"20200403"
11231,154,317,48.58,"20200403"
11232,141,222,63.51,"20200403"
11233,302,493,61.26,"20200403"
11234,531,937,56.67,"20200403"
11235,421,841,50.06,"20200403"
11236,618,979,63.13,"20200403"
11237,235,352,66.76,"20200403"
11238,253,465,54.41,"20200403"
11239,128,187,68.45,"20200403"
11357,230,429,53.61,"20200403"
11355,308,496,62.1,"20200403"
11354,205,368,55.71,"20200403"
11356,151,288,52.43,"20200403"
11358,158,320,49.38,"20200403"
11360,86,197,43.65,"20200403"
11361,118,229,51.53,"20200403"
11362,88,193,45.6,"20200403"
11363,33,77,42.86,"20200403"
11364,149,277,53.79,"20200403"
11365,229,418,54.78,"20200403"
11366,152,248,61.29,"20200403"
11367,403,631,63.87,"20200403"
11368,1245,1605,77.57,"20200403"
11369,464,623,74.48,"20200403"
11370,510,932,54.72,"20200403"
11372,697,963,72.38,"20200403"
11373,841,1229,68.43,"20200403"
11374,419,686,61.08,"20200403"
11375,559,1048,53.34,"20200403"
11377,515,831,61.97,"20200403"
11378,198,353,56.09,"20200403"
11379,252,456,55.26,"20200403"
11385,606,1021,59.35,"20200403"
11411,213,303,70.3,"20200403"
11412,348,554,62.82,"20200403"
11413,393,618,63.59,"20200403"
11414,220,401,54.86,"20200403"
11415,185,313,59.11,"20200403"
11416,161,248,64.92,"20200403"
11417,230,381,60.37,"20200403"
11418,293,474,61.81,"20200403"
11419,261,450,58,"20200403"
11420,339,565,60,"20200403"
11421,280,452,61.95,"20200403"
11422,303,470,64.47,"20200403"
11423,248,382,64.92,"20200403"
11426,141,267,52.81,"20200403"
