seniors,0.178,0.589,0.278,0.722,0.278,8000,1.75,37.778,533.333,0,0.867,8.889,104006.468640989,-25,1507.99334491129,3613.37141281817,-11,749.223580186421,891.95208649883,4,11.9244284991219,0.48,0.43,153,56,1.6,0.41,0.9,196417.798183887,8973.68766380264,2035.19384930644,1070816.50218409
seniors,0.178,0.7,0.278,0.722,0.278,8000,1.75,37.778,533.333,0,0.867,8.889,99750.5657398424,37,1923.45927286966,3777.76059876277,64,928.230996783283,825.737867174574,63,14.2531074396375,0.51,0.46,111,20,1.8,0.29,0.84,187194.774916889,8865.37741062864,1940.17742348273,1101662.14189981
seniors,0.178,0.7,0.722,0.722,0.278,8000,1.75,37.778,533.333,0,0.867,8.889,72168.1731655424,55,1138.2173475959,2278.21129815656,78,595.317630280444,485.238594091921,78,9.02596681271757,0.49,0.44,97,30,1.6,0.27,0.83,159612.382342589,7365.82811002243,1599.67815040007,802974.426940773
seniors,0.178,0.7,0.722,0.722,0.278,4666.667,1.75,37.778,533.333,0,0.867,8.889,113047.402556518,29,2153.19002528934,4577.8223466295,57,1244.75875993613,602.551075691626,73,9.54440615798103,0.53,0.48,125,10,1.9,0.28,0.8,200491.611733564,9665.43915849536,1716.99063199978,1026518.68990675
seniors,0,0.5,0.278,0.278,0.722,2666.667,1.483,20,266.667,0,0.822,1.111,157541.431597542,-150,2050.66802467723,6587.91574888818,-160,1168.24255910454,1402.8121412173,-97,16.4155852079707,0.47,0.42,251,28,1.8,0.46,1,242891.703348586,11523.3137493797,2494.75370343179,1061033.65853555
seniors,0,0.5,0.278,0.278,0.722,2666.667,1.483,20,600,0,0.822,1.111,156529.63111327,25,2000.08364738029,6345.47588631257,47,1023.18496298313,1485.13220981998,48,16.1402056551487,0.43,0.38,223,0,1.7,0.44,0.98,257246.767828832,12279.693457478,2696.33503111171,1113355.24003529
seniors,0,0.5,0.278,0.278,0.722,2666.667,1.483,20,600,0,0.6,1.111,146746.40732373,30,1864.13074805308,6031.37485779981,49,1005.81101929004,1520.40197028883,46,16.1402056551487,0.43,0.38,223,0,1.6,0.46,0.98,247463.544039291,11965.5924289652,2731.60479158056,1056448.58953646
seniors,0,0.5,0.278,0.278,0.722,2666.667,1.706,20,600,0,0.6,1.111,189019.432402173,-71,2577.80455873159,9263.36957144066,-110,1884.79703977283,2113.53913968176,-69,27.623195303629,0.45,0.4,209,40,1.9,0.34,0.96,289736.569204476,15197.5871460776,3324.74196097893,1388922.54241501
seniors,0,0.5,0.278,0.278,0.278,2666.667,1.706,20,600,0,0.6,1.111,204266.971389456,-85,2891.39126957284,11416.5134157024,-160,2645.71717283946,2510.47252136082,-100,36.4580563980689,0.45,0.4,209,40,1.9,0.28,0.96,304984.108191759,17350.7309903393,3721.67534265799,1591518.74140293
seniors,0,0.5,0.278,0.278,0.278,2666.667,1.706,20,600,0,0.6,6.667,90549.0599395881,45,1324.62648407929,3477.64304581724,46,1005.816281215,975.900130034766,48,16.1403236501317,0.55,0.5,351,0,1.3,0.81,0.99,191266.298680102,9411.86598045681,2187.10298764404,773229.875234138
seniors,0,0.5,0.278,0.278,0.278,6000,1.706,20,600,0,0.6,6.667,59383.1861885564,64,1324.62648407929,2495.18644653156,61,1005.816281215,733.28265764061,61,16.1403236501317,0.55,0.5,333,5.1,1.3,0.88,0.97,160100.42492907,8429.40938117113,1944.48551524988,673844.279200937
seniors,0,0.5,0.278,0.722,0.278,6000,1.706,20,600,0,0.6,6.667,117601.111245694,29,2000.58766201543,4732.51468090897,26,1005.816281215,1071.7019477736,42,19.0707371534681,0.45,0.4,241,31,1.7,0.55,1.1,218318.349986208,10666.7376155485,2282.90480538287,1149390.64964909
seniors,0,0.611,0.278,0.722,0.278,6000,1.706,20,600,0,0.6,6.667,132315.148084127,32,2361.86656828754,6124.35366530952,62,1479.88853498337,1500.57018838628,51,25.1458201848288,0.47,0.42,153,15,1.9,0.34,0.89,227198.880022631,11650.9359059081,2668.34091145749,1278208.79081568
seniors,0.111,0.611,0.278,0.722,0.278,6000,1.706,20,600,0,0.6,6.667,120266.382172769,38,2011.35916294713,5087.46875365285,67,1089.31050716882,1296.91142537165,57,19.5582170569794,0.5,0.45,167,7.7,1.8,0.41,0.9,215150.114111273,10614.0509942514,2464.68214844285,1122970.83637408
seniors,0.111,0.611,0.278,0.722,0.278,6000,1.706,64.444,600,0,0.6,6.667,129626.764389837,32,2213.61840674005,5740.14480321161,60,1308.64046208094,1410.55249764632,51,22.3796323493193,0.46,0.41,139,0,1.8,0.37,0.9,224510.496328341,11266.7270438102,2578.32322071753,1208917.29056879
seniors,0.111,0.611,0.722,0.722,0.278,6000,1.706,64.444,600,0,0.6,6.667,105057.083081876,45,1796.16574620924,4188.47490034065,71,881.053600701455,1006.44513454266,65,14.4096642923926,0.42,0.37,111,20,1.7,0.4,0.92,199940.81502038,9715.05714093921,2174.21585761386,935739.810673287
seniors,0.067,0.611,0.811,0.9,0.456,7333.333,1.483,82.222,400,0,1,7.778,76038.5416206831,57,1417.26692482264,2139.10387556788,83,501.778034635184,161.177955821814,93,5.65352841229776,0.39,0.34,97,13,1.7,0.35,0.86,150231.978589005,6493.64815271206,1170.55535742261,694875.388392038
seniors,0.067,0.611,0.811,0.9,0.456,7333.333,1.483,37.778,400,0,1,7.778,60625.6370443729,66,1122.65511256548,1567.0751954542,88,362.027131486014,152.027600028445,94,5.65352841229776,0.41,0.36,111,27,1.7,0.39,0.89,134819.074012695,5921.61947259838,1161.40500162924,597720.159112285
